iter	RMSE
446	0.3006896097
447	0.300649166
448	0.3005582134
449	0.3004877386
450	0.3004369573
451	0.3003382974
452	0.3002972696
453	0.300203117
454	0.3001270328
455	0.3000769069
456	0.3000262863
457	0.2999887081
458	0.2999118624
459	0.2998558655
460	0.2997629853
461	0.2996978667
462	0.2996374925
463	0.2995638973
464	0.2994909801
465	0.2994005019
466	0.2993340518
467	0.299285027
468	0.2992219629
469	0.2991594454
470	0.2990711547
471	0.2989542087
472	0.2989094301
473	0.2988270538
474	0.2987797079
475	0.2987145968
476	0.2986623797
477	0.2986011359
478	0.2985294772
479	0.2984617015
480	0.2983369566
481	0.2982648526
482	0.2981852379
483	0.2981102065
484	0.2980762111
485	0.2979921851
486	0.2979256843
487	0.2978796571
488	0.2978091432
489	0.2977296849
490	0.297678074
491	0.2975722285
492	0.2974931549
493	0.2974305832
494	0.2973554563
495	0.2972999596
496	0.2972489446
497	0.2971979993
498	0.2971275267
499	0.2970673483
500	0.2969676924
501	0.296888023
502	0.2968323299
503	0.296761247
504	0.2966511377
505	0.2965450203
506	0.2964959019
507	0.2964161853
508	0.2963629003
509	0.2963046557
510	0.296249979
511	0.296170287
512	0.2961223031
513	0.296078416
514	0.2959813863
515	0.2958931693
516	0.2958489341
517	0.2957585964
518	0.2957184715
519	0.2956676398
520	0.2956018431
521	0.2955218678
522	0.2954608629
523	0.2953586755
524	0.2952571562
525	0.2951915882
526	0.2951332608
527	0.2950428839
528	0.294992963
529	0.2949372248
530	0.2948650038
531	0.2948112677
532	0.2947413394
533	0.2947028593
534	0.2946332423
535	0.2945838313
536	0.2945299849
537	0.294452332
538	0.2943723424
539	0.2943268362
540	0.2942271143
541	0.2941593888
542	0.2941073386
543	0.29404909
544	0.2939591367
545	0.2939220384
546	0.2938869455
547	0.2938127089
548	0.2937492575
549	0.293699184
550	0.2936430818
551	0.2935832093
552	0.2935416468
553	0.293491184
554	0.2934478218
555	0.2934153169
556	0.2933417911
557	0.2932722293
558	0.2932239933
559	0.2931374024
560	0.2930928286
561	0.2930235291
562	0.292929504
563	0.2928678388
564	0.2928188198
565	0.2927624362
566	0.2926871848
567	0.2926339908
568	0.2925849223
569	0.2925347544
570	0.2924847287
571	0.2924112525
572	0.2923475809
573	0.2922605155
574	0.2921944326
575	0.2921428909
576	0.2920873201
577	0.2920210543
578	0.2919545795
579	0.2918922245
580	0.2918531186
581	0.29181442
582	0.2917312727
583	0.2916741681
584	0.2916351256
585	0.2915586045
586	0.2915297142
587	0.291434515
588	0.2914043994
589	0.291338645
590	0.2913039578
591	0.2912566455
592	0.2912095141
593	0.2911576863
594	0.2910751569
595	0.2909856165
596	0.2909324337
597	0.2908859657
598	0.2908228687
599	0.2907636828
600	0.290697779
601	0.2906424829
602	0.2905692089
603	0.2905118861
604	0.2904440393
605	0.2903968486
606	0.2903399399
607	0.2902816286
608	0.2901890968
609	0.2900999952
610	0.2900365071
611	0.2899777607
612	0.2899303737
613	0.2898538724
614	0.2897819655
615	0.2897231103
616	0.2896626836
617	0.2895968635
618	0.2895369683
619	0.2894775521
620	0.2894267402
621	0.289365684
622	0.2893232173
623	0.2892818543
624	0.289226049
625	0.2891598681
626	0.2891210132
627	0.2890658208
628	0.2890260881
629	0.2889755506
630	0.2888926123
631	0.2888354083
632	0.2888012127
633	0.2887367884
634	0.2886778994
635	0.2886412114
636	0.2886085596
637	0.2885284209
638	0.2884894611
639	0.2884187228
640	0.288382285
641	0.28831072
642	0.2882514745
643	0.2881873939
644	0.2881456265
645	0.2880873668
646	0.2880367412
647	0.2879589282
648	0.2879018268
649	0.2878716475
650	0.2878298804
651	0.287789065
652	0.2877504794
653	0.2877171423
654	0.2876513908
655	0.2875994317
656	0.2875571524
657	0.2874898232
658	0.2874380814
659	0.2873881981
660	0.2873547278
661	0.2873223763
662	0.287296307
663	0.2872525449
664	0.2872130156
665	0.2871794116
666	0.2871354354
667	0.2870957685
668	0.2870608621
669	0.2870254372
670	0.2869828907
671	0.2869069294
672	0.2868700836
673	0.2868218262
674	0.2867934862
675	0.2867135489
676	0.2866807908
677	0.2866205499
678	0.286579715
679	0.2865533467
680	0.2864980061
681	0.2864395152
682	0.2863435855
683	0.2862925062
684	0.2862582108
685	0.2861921879
686	0.2861464018
687	0.286107549
688	0.2860347143
689	0.2859674416
690	0.2859395391
691	0.2858723281
692	0.2858384179
693	0.2857862049
694	0.2857618255
695	0.2857283797
696	0.2856600558
697	0.285629393
698	0.2856007072
699	0.2855272232
700	0.2854851056
701	0.2854508673
702	0.2853652878
703	0.2853225019
704	0.2852575655
705	0.2852195458
706	0.2851705028
707	0.2850910718
708	0.285048807
709	0.2850073362
710	0.2849768858
711	0.2849433103
712	0.2848887571
713	0.2848280011
714	0.2847571027
715	0.2847063946
716	0.2846603912
717	0.2846311757
718	0.2846025869
719	0.2845394664
720	0.2844880802
721	0.284444348
722	0.2844107557
723	0.2843861905
724	0.28432561
725	0.284272122
726	0.2842438719
727	0.284180956
728	0.2841211786
729	0.2840557137
730	0.284007923
731	0.2839453192
732	0.2839215258
733	0.2838787415
734	0.2838422108
735	0.2838135596
736	0.2837692797
737	0.283718185
738	0.2836637309
739	0.2836113393
740	0.2835683841
741	0.2835269585
742	0.2834847301
743	0.2834594382
744	0.2834057876
745	0.2833854528
746	0.2833577925
747	0.2833364443
748	0.2832827218
749	0.2832109795
750	0.2831711646
751	0.2831333937
752	0.2831019463
753	0.2830635684
754	0.2830176874
755	0.2829668816
756	0.2829310546
757	0.2829006574
758	0.2828510268
759	0.2827765228
760	0.2827506682
761	0.2827226591
762	0.2826878794
763	0.2826263744
764	0.2825998132
765	0.2825355816
766	0.2824841435
767	0.2824560351
768	0.2824083047
769	0.2823666119
770	0.2823414387
771	0.2823108049
772	0.2822614423
773	0.2822293507
774	0.2821854842
775	0.2821206615
776	0.2820601568
777	0.2820347735
778	0.2819893082
779	0.2819386236
780	0.2818874245
781	0.281856546
782	0.2818219775
783	0.2817741178
784	0.2817286611
785	0.2816764523
786	0.2816414833
787	0.2816133826
788	0.2815671964
789	0.2815184296
790	0.2814912286
791	0.2814561817
792	0.2814201683
793	0.2813928371
794	0.2813636252
795	0.2813268109
796	0.2812948716
797	0.2812616865
798	0.2812219398
799	0.2811813395
800	0.2811368851
801	0.281087427
802	0.2810510896
803	0.281003493
804	0.2809591625
805	0.2809262653
806	0.2808505724
807	0.2808200784
808	0.2807884069
809	0.2807450985
810	0.2807008263
811	0.2806721258
812	0.2806007451
813	0.2805637242
814	0.2804829537
815	0.2804553892
816	0.2804190024
817	0.2803656781
818	0.2803450477
819	0.2803153
820	0.2802918041
821	0.2802365072
822	0.2801919396
823	0.2801284161
824	0.2800945806
825	0.2800334479
826	0.2799694319
827	0.2799398581
828	0.2798769132
829	0.2798399701
830	0.2798025546
831	0.2797737961
832	0.2797317153
833	0.2797077136
834	0.2796645247
835	0.2796054162
836	0.2795559845
837	0.2795364672
838	0.279480876
839	0.2794513857
840	0.2794225192
841	0.2793736514
842	0.2793220283
843	0.279297031
844	0.2792573407
845	0.2792222856
846	0.2791797288
847	0.2791193723
848	0.2790955579
849	0.2790440537
850	0.2789724145
851	0.2789339536
852	0.2788943134
853	0.2788493453
854	0.2788116927
855	0.2787725114
856	0.2787281528
857	0.2787040833
858	0.2786644514
859	0.2786174683
860	0.2785874456
861	0.2785414986
862	0.2785178021
863	0.2784827685
864	0.2784273221
865	0.2783917814
866	0.2783625468
867	0.2783104349
868	0.2782535393
869	0.2782262494
870	0.2781587288
871	0.278129413
872	0.2780813366
873	0.2780428049
874	0.2780203768
875	0.2779638801
876	0.2779282345
877	0.2778728491
878	0.2778457587
879	0.2777968048
880	0.2777751696
881	0.2777407972
882	0.2777193107
883	0.2776938249
884	0.27765708
885	0.2776250755
886	0.2775549031
887	0.2775146653
888	0.2774713264
889	0.2774404572
890	0.2774094138
891	0.2773793198
892	0.2773413007
893	0.2772980927
894	0.2772492984
895	0.2772171691
896	0.2771883512
897	0.2771292862
898	0.2770970654
899	0.277074391
900	0.2770503479
901	0.2770226117
902	0.2769765374
903	0.2769471738
904	0.276914095
905	0.2768694044
906	0.2768378417
907	0.2768027175
908	0.2767532868
909	0.276697909
910	0.2766681423
911	0.2766398076
912	0.2765758831
913	0.2765466877
914	0.2765081841
915	0.2764875632
916	0.2764415275
917	0.2764092162
918	0.2763498468
919	0.276326993
920	0.2762931413
921	0.2762611149
922	0.2762312572
923	0.2761670036
924	0.2760951832
925	0.2760621072
926	0.2760219401
927	0.2759882887
928	0.2759441653
929	0.2759078982
930	0.275872889
931	0.2758462194
932	0.2758035313
933	0.2757677457
934	0.2757257074
935	0.2757035981
936	0.2756611002
937	0.2756225888
938	0.2755906428
939	0.2755636812
940	0.2755436117
941	0.2755100095
942	0.2754813146
943	0.2754395767
944	0.2754068486
945	0.275357938
946	0.2753094268
947	0.2752676457
948	0.2752297319
949	0.2752120728
950	0.2751489506
951	0.2751137924
952	0.2750659475
953	0.2750493886
954	0.2750273466
955	0.2750101498
956	0.2749810477
957	0.2749212421
958	0.2748957029
959	0.2748668749
960	0.274829914
961	0.2747797479
962	0.2747255446
963	0.2747044966
964	0.2746798667
965	0.2746398215
966	0.2746080769
967	0.2745685213
968	0.2745438572
969	0.2745180047
970	0.2744975129
971	0.2744698975
972	0.2744416104
973	0.2743835355
974	0.2743563238
975	0.2743106326
976	0.2742741389
977	0.2742444026
978	0.2742262615
979	0.2741979346
980	0.2741783388
981	0.2741455966
982	0.274095493
983	0.274061938
984	0.2740264444
985	0.2740011302
986	0.2739531336
987	0.2739218148
988	0.2738714812
989	0.2738424167
990	0.2738001997
991	0.2737611753
992	0.2737089154
993	0.2736797684
994	0.2736418283
995	0.2735936436
996	0.2735582007
997	0.2735309062
998	0.2734898065
999	0.2734471697
